STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
432950,99999, 20130101,   74.2, 8,   59.0, 8, 9999.9, 0,  909.9, 8,   3.9, 8,   2.3, 8,   2.9, 999.9,   86.5 ,  66.2*, 0.00I,999.9, 000000,
432950,99999, 20130102,   72.3, 8,   56.5, 8, 9999.9, 0,  911.1, 8,   4.3, 8,   1.8, 8,   4.1, 999.9,   86.5 ,  62.4 , 0.00I,999.9, 000000,
432950,99999, 20130103,   75.2, 8,   55.9, 8, 9999.9, 0,  911.0, 8,   4.3, 8,   1.5, 8,   2.9, 999.9,   89.2 ,  62.4 , 0.00I,999.9, 000000,
432950,99999, 20130104,   75.5, 8,   57.2, 8, 9999.9, 0,  909.9, 8,   3.7, 8,   1.8, 8,   2.9, 999.9,   89.6 ,  63.3 , 0.00I,999.9, 000000,
432950,99999, 20130105,   74.8, 8,   59.1, 8, 9999.9, 0,  908.9, 8,   4.3, 8,   1.7, 8,   4.1, 999.9,   89.6 ,  64.4 , 0.00I,999.9, 000000,
432950,99999, 20130106,   73.9, 8,   59.2, 8, 9999.9, 0,  909.2, 8,   4.3, 8,   2.7, 8,   5.1, 999.9,   87.8 ,  64.9 , 0.00I,999.9, 000000,
432950,99999, 20130107,   73.0, 8,   55.7, 8, 9999.9, 0,  909.9, 8,   4.8, 8,   2.0, 8,   4.1, 999.9,   86.4 ,  63.7 , 0.00I,999.9, 000000,
432950,99999, 20130108,   73.5, 8,   51.3, 8, 9999.9, 0,  910.6, 8,   4.3, 8,   1.8, 8,   2.9, 999.9,   87.1 ,  63.3 , 0.00I,999.9, 000000,
432950,99999, 20130109,   73.3, 8,   53.7, 8, 9999.9, 0,  911.1, 8,   4.3, 8,   1.9, 8,   1.9, 999.9,   87.1 ,  63.3 , 0.00I,999.9, 000000,
432950,99999, 20130110,   72.2, 8,   55.4, 8, 9999.9, 0,  910.8, 8,   3.9, 8,   1.8, 8,   4.1, 999.9,   86.0 ,  62.6 , 0.00I,999.9, 000000,
432950,99999, 20130111,   72.2, 8,   54.1, 8, 9999.9, 0,  911.4, 8,   4.3, 8,   2.3, 8,   4.1, 999.9,   84.9 ,  62.6 , 0.00I,999.9, 000000,
432950,99999, 20130112,   71.3, 8,   53.9, 8, 9999.9, 0,  911.9, 8,   4.3, 8,   1.5, 8,   1.9, 999.9,   84.9 ,  60.3 , 0.00I,999.9, 000000,
432950,99999, 20130113,   72.1, 8,   48.4, 8, 9999.9, 0,  911.2, 8,   4.3, 8,   1.5, 8,   2.9, 999.9,   86.2 ,  60.3 , 0.00I,999.9, 000000,
432950,99999, 20130114,   71.3, 8,   46.5, 8, 9999.9, 0,  911.1, 8,   4.3, 8,   1.0, 8,   2.9, 999.9,   87.1 ,  58.6 , 0.00I,999.9, 000000,
432950,99999, 20130115,   70.9, 8,   47.1, 8, 9999.9, 0,  911.8, 8,   4.3, 8,   1.7, 8,   4.1, 999.9,   87.1 ,  57.6 , 0.00I,999.9, 000000,
432950,99999, 20130116,   70.0, 8,   53.2, 8, 9999.9, 0,  912.2, 8,   4.3, 8,   2.2, 8,   4.1, 999.9,   85.8 ,  59.7 , 0.00I,999.9, 000000,
432950,99999, 20130117,   68.7, 8,   53.7, 8, 9999.9, 0,  912.6, 8,   4.3, 8,   2.7, 8,   6.0, 999.9,   82.6 ,  59.7 , 0.00I,999.9, 000000,
432950,99999, 20130118,   70.2, 8,   52.2, 8, 9999.9, 0,  912.2, 8,   4.3, 8,   1.7, 8,   4.1, 999.9,   82.9 ,  58.1 , 0.00I,999.9, 000000,
432950,99999, 20130119,   70.9, 8,   55.2, 8, 9999.9, 0,  912.1, 8,   4.3, 8,   1.2, 8,   1.9, 999.9,   85.3 ,  61.5 , 0.00I,999.9, 000000,
432950,99999, 20130120,   71.4, 8,   56.0, 8, 9999.9, 0,  911.7, 8,   4.3, 8,   1.3, 8,   2.9, 999.9,   85.3 ,  61.9 , 0.00I,999.9, 000000,
432950,99999, 20130121,   72.1, 8,   54.8, 8, 9999.9, 0,  912.6, 8,   4.3, 8,   1.7, 8,   2.9, 999.9,   85.8 ,  63.5 , 0.00I,999.9, 000000,
432950,99999, 20130122,   71.5, 8,   49.6, 8, 9999.9, 0,  913.0, 8,   4.3, 8,   2.3, 8,   4.1, 999.9,   85.8 ,  59.2 , 0.00I,999.9, 000000,
432950,99999, 20130123,   70.3, 8,   51.1, 8, 9999.9, 0,  913.0, 8,   4.3, 8,   1.8, 8,   2.9, 999.9,   84.2 ,  59.4 , 0.00I,999.9, 000000,
432950,99999, 20130124,   70.4, 8,   48.0, 8, 9999.9, 0,  912.3, 8,   4.3, 8,   1.6, 8,   2.9, 999.9,   83.8 ,  58.3 , 0.00I,999.9, 000000,
432950,99999, 20130125,   70.9, 8,   49.7, 8, 9999.9, 0,  912.4, 8,   4.8, 8,   2.6, 8,   4.1, 999.9,   84.4 ,  59.9 , 0.00I,999.9, 000000,
432950,99999, 20130126,   71.3, 8,   46.0, 8, 9999.9, 0,  912.9, 8,   4.3, 8,   1.5, 8,   1.9, 999.9,   84.6 ,  58.3 , 0.00I,999.9, 000000,
432950,99999, 20130127,   72.1, 8,   46.8, 8, 9999.9, 0,  912.5, 8,   4.3, 8,   1.3, 8,   2.9, 999.9,   86.2 ,  60.1 , 0.00I,999.9, 000000,
432950,99999, 20130128,   72.3, 8,   53.2, 8, 9999.9, 0,  911.7, 8,   4.3, 8,   1.5, 8,   1.9, 999.9,   86.5 ,  60.8 , 0.00I,999.9, 000000,
432950,99999, 20130129,   73.4, 8,   55.4, 8, 9999.9, 0,  911.4, 8,   4.1, 8,   1.5, 8,   2.9, 999.9,   86.5 ,  62.4 , 0.00I,999.9, 100000,
432950,99999, 20130130,   73.6, 8,   55.8, 8, 9999.9, 0,  911.6, 8,   4.3, 8,   2.9, 8,   4.1, 999.9,   86.0 ,  64.0 , 0.00I,999.9, 000000,
432950,99999, 20130131,   71.7, 8,   54.2, 8, 9999.9, 0,  912.0, 8,   4.3, 8,   2.8, 8,   5.1, 999.9,   85.6 ,  63.1 , 0.00I,999.9, 000000,
432950,99999, 20130201,   70.8, 8,   51.8, 8, 9999.9, 0,  911.9, 8,   4.3, 8,   2.1, 8,   2.9, 999.9,   84.6 ,  59.5 , 0.00I,999.9, 000000,
432950,99999, 20130202,   70.6, 8,   48.4, 8, 9999.9, 0,  911.3, 8,   4.3, 8,   1.5, 8,   2.9, 999.9,   84.6 ,  59.4 , 0.00I,999.9, 000000,
432950,99999, 20130203,   71.3, 7,   43.3, 7, 9999.9, 0,  911.1, 7,   4.6, 7,   1.2, 7,   1.9, 999.9,   85.3 ,  57.9 , 0.00I,999.9, 000000,
432950,99999, 20130204,   72.5, 8,   52.7, 8, 9999.9, 0,  911.8, 8,   3.9, 8,   1.6, 8,   2.9, 999.9,   86.9 ,  61.0 , 0.00I,999.9, 000000,
432950,99999, 20130205,   73.8, 8,   59.3, 8, 9999.9, 0,  912.6, 8,   3.9, 8,   2.1, 8,   2.9, 999.9,   86.9 ,  64.0 , 0.00I,999.9, 000000,
432950,99999, 20130206,   74.7, 8,   60.4, 8, 9999.9, 0,  912.4, 8,   4.3, 8,   2.7, 8,   4.1, 999.9,   87.8 ,  66.7 , 0.00I,999.9, 000000,
432950,99999, 20130207,   76.3, 8,   59.2, 8, 9999.9, 0,  910.2, 8,   4.3, 8,   1.2, 8,   1.9, 999.9,   90.0 ,  65.8 , 0.00I,999.9, 000000,
432950,99999, 20130208,   76.3, 8,   62.7, 8, 9999.9, 0,  909.6, 8,   3.4, 8,   2.1, 8,   5.1, 999.9,   90.0 ,  69.8 , 0.02E,999.9, 010000,
432950,99999, 20130209,   75.1, 7,   56.0, 7, 9999.9, 0,  909.5, 7,   4.1, 7,   3.2, 7,   5.1, 999.9,   88.9 ,  66.2*, 0.00I,999.9, 000000,
432950,99999, 20130210,   73.0, 8,   54.6, 8, 9999.9, 0,  910.1, 8,   3.4, 8,   3.1, 8,   4.1, 999.9,   88.9 ,  62.8 , 0.00I,999.9, 000000,
432950,99999, 20130211,   72.8, 8,   56.2, 8, 9999.9, 0,  910.5, 8,   3.9, 8,   3.4, 8,   5.1, 999.9,   86.0 ,  63.0 , 0.00I,999.9, 000000,
432950,99999, 20130212,   75.2, 8,   53.8, 8, 9999.9, 0,  909.8, 8,   3.9, 8,   2.7, 8,   4.1, 999.9,   88.5 ,  64.4 , 0.00I,999.9, 000000,
432950,99999, 20130213,   76.1, 8,   55.8, 8, 9999.9, 0,  909.4, 8,   4.3, 8,   2.6, 8,   5.1, 999.9,   88.7 ,  66.0 , 0.00I,999.9, 000000,
432950,99999, 20130214,   75.1, 8,   61.9, 8, 9999.9, 0,  909.8, 8,   3.9, 8,   2.8, 8,   5.1, 999.9,   88.7 ,  67.5 , 0.00E,999.9, 010000,
432950,99999, 20130215,   75.7, 8,   64.5, 8, 9999.9, 0,  909.4, 8,   4.3, 8,   1.9, 8,   2.9, 999.9,   88.5 ,  68.4 , 0.00G,999.9, 000000,
432950,99999, 20130216,   76.7, 8,   62.9, 8, 9999.9, 0,  908.1, 8,   4.3, 8,   2.7, 8,   4.1, 999.9,   88.5 ,  69.3 , 0.00G,999.9, 010000,
432950,99999, 20130217,   77.2, 8,   64.5, 8, 9999.9, 0,  907.9, 8,   4.3, 8,   2.2, 8,   4.1, 999.9,   88.5 ,  67.8 , 0.08G,999.9, 000000,
