STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
421650,99999, 20130501,   87.1, 8,   26.8, 8, 1003.4, 8, 9999.9, 0,   1.9, 8,   0.6, 8,   1.9, 999.9,  102.9 ,  69.4 , 0.00I,999.9, 000000,
421650,99999, 20130502,   85.9, 7,   35.6, 7, 1000.8, 7, 9999.9, 0,   1.4, 7,   0.4, 7,   1.9, 999.9,  102.6 ,  69.4 , 0.00I,999.9, 000000,
421650,99999, 20130503,   90.2, 8,   30.7, 8,  998.4, 8, 9999.9, 0,   2.0, 8,   0.8, 8,   1.9, 999.9,  105.8 ,  68.4 , 0.00I,999.9, 000000,
421650,99999, 20130504,   94.9, 8,   36.8, 8,  997.2, 8, 9999.9, 0,   1.7, 8,   1.4, 8,   4.1, 999.9,  109.4 ,  74.8 , 0.00I,999.9, 000000,
421650,99999, 20130505,   96.3, 7,   41.1, 7,  999.8, 7, 9999.9, 0,   1.6, 7,   1.2, 7,   2.9, 999.9,  109.4 ,  79.9 , 0.00I,999.9, 000000,
421650,99999, 20130506,   94.6, 8,   40.5, 8, 1001.6, 8, 9999.9, 0,   1.2, 8,   0.4, 8,   1.0, 999.9,  109.4 ,  79.2 , 0.00I,999.9, 000000,
421650,99999, 20130507,   94.6, 8,   41.2, 8, 1002.0, 8, 9999.9, 0,   1.2, 8,   0.5, 8,   1.9, 999.9,  109.4 ,  77.2 , 0.00I,999.9, 000000,
421650,99999, 20130508,   95.3, 8,   42.0, 8, 1001.7, 8, 9999.9, 0,   1.4, 8,   1.2, 8,   2.9, 999.9,  109.4 ,  79.0 , 0.00I,999.9, 000000,
421650,99999, 20130509,   94.9, 8,   50.2, 8, 1000.5, 8, 9999.9, 0,   1.2, 8,   0.8, 8,   1.9, 999.9,  109.4 ,  80.4 , 0.00I,999.9, 000000,
421650,99999, 20130510,   90.4, 8,   51.8, 8, 1000.3, 8, 9999.9, 0,   1.1, 8,   1.8, 8,   2.9, 999.9,  109.4 ,  78.1*, 0.00I,999.9, 000000,
421650,99999, 20130511,   85.4, 8,   58.1, 8,  999.9, 8, 9999.9, 0,   1.2, 8,   1.5, 8,   2.9, 999.9,  104.4 ,  74.5 , 0.00G,999.9, 000000,
421650,99999, 20130512,   86.5, 6,   58.0, 6, 1001.9, 6, 9999.9, 0,   1.2, 6,   1.0, 6,   1.9, 999.9,  104.0 ,  75.2 , 0.00I,999.9, 000000,
421650,99999, 20130513,   90.9, 8,   55.6, 8, 1002.2, 8, 9999.9, 0,   1.2, 8,   0.7, 8,   1.9, 999.9,  107.6 ,  74.5 , 0.00I,999.9, 000000,
421650,99999, 20130514,   94.3, 8,   51.9, 8, 1000.1, 8, 9999.9, 0,   1.2, 8,   1.0, 8,   1.9, 999.9,  108.5 ,  80.6 , 0.00I,999.9, 000000,
421650,99999, 20130515,   90.3, 5,   51.4, 5,  999.7, 5, 9999.9, 0,   1.2, 5,   0.8, 5,   1.9, 999.9,  108.5 ,  81.9 , 0.00I,999.9, 000000,
421650,99999, 20130516,   94.7, 8,   48.4, 8,  998.6, 8, 9999.9, 0,   1.2, 8,   0.2, 8,   1.0, 999.9,  110.8 ,  80.2 , 0.00I,999.9, 000000,
421650,99999, 20130517,   98.3, 8,   45.7, 8,  998.6, 8, 9999.9, 0,   1.2, 8,   0.7, 8,   1.9, 999.9,  116.6 ,  81.7 , 0.00I,999.9, 000000,
421650,99999, 20130518,  101.9, 7,   45.3, 7,  998.8, 7, 9999.9, 0,   1.4, 7,   1.0, 7,   1.9, 999.9,  117.0 ,  81.7 , 0.00I,999.9, 000000,
421650,99999, 20130519,  101.0, 8,   34.6, 8,  998.6, 8, 9999.9, 0,   0.9, 8,   2.7, 8,   5.1, 999.9,  117.0 ,  89.8 , 0.00I,999.9, 000000,
421650,99999, 20130520,  100.0, 8,   47.8, 8,  998.7, 8, 9999.9, 0,   1.2, 8,   1.5, 8,   4.1, 999.9,  114.4 ,  85.5 , 0.00I,999.9, 000000,
421650,99999, 20130521,  101.2, 7,   43.2, 7,  999.9, 7, 9999.9, 0,   1.2, 7,   1.2, 7,   2.9, 999.9,  114.4 ,  85.6 , 0.00I,999.9, 000000,
421650,99999, 20130522,   99.3, 8,   48.9, 8,  999.3, 8, 9999.9, 0,   1.2, 8,   1.7, 8,   2.9, 999.9,  114.1 ,  84.4 , 0.00I,999.9, 000000,
421650,99999, 20130523,  101.8, 8,   53.4, 8,  998.0, 8, 9999.9, 0,   1.2, 8,   1.7, 8,   2.9, 999.9,  115.7 ,  87.1 , 0.00I,999.9, 000000,
421650,99999, 20130524,  103.2, 8,   56.6, 8,  997.4, 7, 9999.9, 0,   1.2, 8,   1.7, 8,   4.1, 999.9,  118.8*,  89.2 , 0.00I,999.9, 000000,
421650,99999, 20130525,   97.2, 8,   61.6, 8,  997.9, 8, 9999.9, 0,   0.9, 8,   4.8, 8,  17.1, 999.9,  113.9 ,  86.9 , 0.00I,999.9, 000000,
421650,99999, 20130526,   96.3, 7,   66.6, 7,  999.3, 7, 9999.9, 0,   0.6, 7,   4.4, 7,   6.0, 999.9,  109.0 ,  83.8 , 0.00I,999.9, 000000,
421650,99999, 20130527,   96.7, 7,   58.0, 7,  999.8, 7, 9999.9, 0,   1.0, 7,   2.1, 7,  14.0, 999.9,  108.5 ,  85.8 , 0.00I,999.9, 000000,
421650,99999, 20130528,   96.4, 7,   51.6, 7,  999.7, 7, 9999.9, 0,   1.2, 7,   1.1, 7,   1.9, 999.9,  108.9 ,  83.7 , 0.00I,999.9, 000000,
421650,99999, 20130529,   99.7, 7,   47.9, 7,  999.3, 7, 9999.9, 0,   1.2, 7,   1.1, 7,   1.9, 999.9,  111.2 ,  84.9 , 0.00I,999.9, 000000,
421650,99999, 20130530,   98.6, 8,   40.4, 8,  998.6, 8, 9999.9, 0,   1.2, 8,   0.7, 8,   1.0, 999.9,  111.2 ,  87.6 , 0.00I,999.9, 000000,
421650,99999, 20130531,   98.6, 8,   44.6, 8,  997.0, 8, 9999.9, 0,   1.6, 8,   0.7, 8,   2.9, 999.9,  113.4 ,  84.2 , 0.00I,999.9, 000000,
421650,99999, 20130601,  101.3, 8,   49.8, 8,  997.2, 8, 9999.9, 0,   1.2, 8,   0.4, 8,   1.0, 999.9,  113.7 ,  86.0 , 0.00I,999.9, 000000,
421650,99999, 20130602,  100.5, 8,   52.7, 8,  996.9, 8, 9999.9, 0,   1.2, 8,   0.4, 8,   1.9, 999.9,  114.1 ,  88.9 , 0.00I,999.9, 000000,
421650,99999, 20130603,  102.0, 8,   52.8, 8,  997.2, 8, 9999.9, 0,   1.2, 8,   0.8, 8,   1.9, 999.9,  114.1 ,  89.6 , 0.00I,999.9, 000000,
421650,99999, 20130604,  102.6, 8,   59.7, 8,  997.8, 8, 9999.9, 0,   1.2, 8,   1.0, 8,   1.9, 999.9,  115.7 ,  88.9 , 0.00I,999.9, 000000,
421650,99999, 20130605,  104.0, 8,   60.4, 8,  997.5, 8, 9999.9, 0,   1.2, 8,   1.3, 8,   2.9, 999.9,  115.9 ,  89.8 , 0.00I,999.9, 000000,
421650,99999, 20130606,  102.7, 8,   61.2, 8,  995.0, 8, 9999.9, 0,   1.4, 8,   2.7, 8,   4.1, 999.9,  116.6 ,  91.4 ,99.99 ,999.9, 010000,
421650,99999, 20130607,  100.1, 8,   63.9, 8,  995.7, 8, 9999.9, 0,   2.5, 8,   1.5, 8,   5.1, 999.9,  116.6 ,  88.7 , 0.16G,999.9, 000000,
