STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
421110,99999, 20130101,   48.0, 8,   42.3, 8, 1015.3, 8,  935.8, 8,   1.6, 8,   0.5, 8,   1.9, 999.9,   68.5 ,  39.2 , 0.00I,999.9, 000000,
421110,99999, 20130102,   48.6, 8,   38.7, 8, 1016.1, 8,  936.7, 8,   2.2, 8,   0.5, 8,   1.9, 999.9,   66.6 ,  37.9 , 0.00I,999.9, 000000,
421110,99999, 20130103,   49.2, 8,   39.4, 8, 1017.3, 8,  937.8, 8,   2.5, 8,   0.6, 8,   2.9, 999.9,   68.0 ,  38.1 , 0.00I,999.9, 000000,
421110,99999, 20130104,   49.6, 8,   41.7, 8, 1015.8, 8,  936.5, 8,   2.0, 8,   0.4, 8,   1.0, 999.9,   70.2 ,  39.4 , 0.00I,999.9, 000000,
421110,99999, 20130105,   46.3, 8,   40.5, 8, 1014.9, 8,  935.2, 8,   2.0, 8,   0.2, 8,   1.9, 999.9,   70.2 ,  38.1*, 0.00I,999.9, 000000,
421110,99999, 20130106,   45.8, 8,   39.2, 8, 1016.9, 8,  936.9, 8,   1.9, 8,   0.1, 8,   1.0, 999.9,   65.7 ,  35.6 , 0.00I,999.9, 000000,
421110,99999, 20130107,   43.7, 8,   36.5, 8, 1017.7, 8,  937.3, 8,   1.5, 8,   0.5, 8,   1.9, 999.9,   65.7 ,  33.8*, 0.00I,999.9, 100000,
421110,99999, 20130108,   42.5, 8,   36.7, 8, 1017.0, 8,  936.6, 7,   1.6, 8,   0.8, 8,   1.9, 999.9,   64.8 ,  31.1 , 0.00I,999.9, 000000,
421110,99999, 20130109,   49.5, 7,   40.4, 7, 1015.8, 7,  936.5, 7,   1.3, 7,   0.1, 7,   1.0, 999.9,   69.1 ,  35.4 , 0.00I,999.9, 000000,
421110,99999, 20130110,   50.5, 8,   41.4, 8, 1014.2, 8,  935.1, 8,   1.6, 8,   0.4, 8,   1.9, 999.9,   69.1 ,  38.3 , 0.00I,999.9, 000000,
421110,99999, 20130111,   50.0, 8,   41.9, 8, 1015.2, 8,  936.0, 8,   1.2, 8,   0.2, 8,   1.0, 999.9,   68.4 ,  38.1 , 0.00I,999.9, 000000,
421110,99999, 20130112,   54.2, 7,   44.4, 7, 1016.4, 7,  937.6, 7,   1.4, 7,   0.6, 7,   2.9, 999.9,   68.0 ,  43.3 , 0.00I,999.9, 000000,
421110,99999, 20130113,   55.2, 7,   46.9, 7, 1013.4, 7,  935.0, 7,   2.1, 7,   1.0, 7,   1.9, 999.9,   74.1 ,  45.5 , 0.00G,999.9, 000000,
421110,99999, 20130114,   55.7, 8,   47.3, 8, 1014.6, 8,  936.2, 8,   1.7, 8,   0.4, 8,   1.9, 999.9,   74.1 ,  45.9 , 0.00I,999.9, 000000,
421110,99999, 20130115,   55.7, 7,   46.6, 7, 1016.9, 7,  938.4, 7,   1.2, 7,   0.4, 7,   1.9, 999.9,   72.1 ,  45.3 , 0.00I,999.9, 000000,
421110,99999, 20130116,   57.1, 8,   44.7, 8, 1017.5, 8,  939.1, 8,   1.6, 8,   0.5, 8,   1.9, 999.9,   73.8 ,  45.1 , 0.00I,999.9, 000000,
421110,99999, 20130117,   54.1, 8,   50.2, 8, 1016.8, 8,  938.1, 8,   1.5, 8,   2.5, 8,   6.0, 999.9,   73.8 ,  51.1 , 0.79E,999.9, 010110,
421110,99999, 20130118,   49.8, 7,   49.5, 7, 1015.6, 7,  936.4, 7,   1.1, 7,   0.8, 7,   2.9, 999.9,   60.8 ,  48.2*, 2.44G,999.9, 010010,
421110,99999, 20130119,   50.6, 8,   45.7, 8, 1019.6, 8,  940.2, 8,   1.7, 8,   0.0, 8, 999.9, 999.9,   64.4 ,  42.4 , 2.24G,999.9, 110000,
421110,99999, 20130120,   50.9, 8,   44.0, 8, 1018.5, 8,  939.3, 7,   2.3, 8,   0.5, 8,   1.9, 999.9,   68.4 ,  40.5 , 0.00G,999.9, 000000,
421110,99999, 20130121,   53.4, 7,   44.9, 7, 1019.7, 7,  940.6, 7,   2.3, 7,   0.7, 7,   1.9, 999.9,   71.1 ,  40.8 , 0.00I,999.9, 000000,
421110,99999, 20130122,   51.8, 8,   44.2, 8, 1021.2, 7,  941.3, 8,   1.9, 8,   0.0, 8, 999.9, 999.9,   71.6 ,  41.5 , 0.00I,999.9, 000000,
421110,99999, 20130123,   51.8, 7,   45.0, 7, 1020.0, 7,  940.7, 7,   1.6, 7,   0.7, 7,   2.9, 999.9,   71.6 ,  40.3 , 0.00I,999.9, 000000,
421110,99999, 20130124,   52.2, 8,   41.6, 8, 1019.3, 8,  940.1, 8,   2.5, 8,   0.6, 8,   1.9, 999.9,   69.4 ,  39.7 , 0.00I,999.9, 000000,
421110,99999, 20130125,   51.9, 8,   43.2, 8, 1018.6, 8,  939.4, 8,   2.3, 8,   0.6, 8,   1.9, 999.9,   71.2 ,  41.2 , 0.00I,999.9, 000000,
