STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
428070,99999, 20151207,   72.4, 4,   66.3, 4, 1014.4, 4, 9999.9, 0,   2.5, 4,   0.0, 4, 999.9, 999.9,   83.5 ,  69.4*, 0.00I,999.9, 000000,
428070,99999, 20151208,   72.8, 8,   63.8, 8, 1015.2, 8, 9999.9, 0,   1.9, 8,   1.4, 8,   4.1, 999.9,   82.6 ,  66.6*, 0.00I,999.9, 000000,
428070,99999, 20151209,   73.0, 8,   63.9, 8, 1015.6, 8, 9999.9, 0,   2.3, 8,   1.1, 8,   4.1, 999.9,   82.9 ,  65.8 , 0.00I,999.9, 000000,
428070,99999, 20151210,   74.2, 8,   66.1, 8, 1013.2, 8, 9999.9, 0,   1.9, 8,   1.6, 8,   4.1, 999.9,   84.4 ,  65.7 , 0.00I,999.9, 000000,
428070,99999, 20151211,   76.1, 8,   68.5, 8, 1011.6, 8, 9999.9, 0,   1.6, 8,   1.6, 8,   4.1, 999.9,   84.4 ,  69.1 , 0.00E,999.9, 010000,
428070,99999, 20151212,   77.5, 8,   70.7, 8, 1010.7, 8, 9999.9, 0,   1.5, 8,   2.7, 8,   4.1, 999.9,   85.3 ,  70.5 , 0.00G,999.9, 000000,
428070,99999, 20151213,   76.2, 8,   66.4, 8, 1013.1, 8, 9999.9, 0,   1.3, 8,   2.1, 8,   4.1, 999.9,   82.8 ,  72.3*, 0.00I,999.9, 000000,
428070,99999, 20151214,   73.4, 8,   61.6, 8, 1013.6, 8, 9999.9, 0,   1.2, 8,   2.1, 8,   2.9, 999.9,   77.4 ,  70.7 , 0.00I,999.9, 000000,
428070,99999, 20151215,   68.8, 8,   57.1, 8, 1014.6, 8, 9999.9, 0,   0.9, 8,   1.6, 8,   4.1, 999.9,   76.3 ,  62.6*, 0.00I,999.9, 000000,
428070,99999, 20151216,   66.0, 8,   53.6, 8, 1015.7, 8, 9999.9, 0,   1.6, 8,   0.8, 8,   2.9, 999.9,   76.5 ,  59.4*, 0.00I,999.9, 000000,
428070,99999, 20151217,   66.9, 8,   55.4, 8, 1015.1, 8, 9999.9, 0,   1.2, 8,   1.6, 8,   2.9, 999.9,   75.6 ,  57.4 , 0.00I,999.9, 000000,
428070,99999, 20151218,   65.8, 8,   61.2, 8, 1015.6, 8, 9999.9, 0,   0.9, 8,   1.1, 8,   2.9, 999.9,   70.0 ,  61.9*, 0.01G,999.9, 110010,
428070,99999, 20151219,   64.7, 8,   54.6, 8, 1018.7, 8, 9999.9, 0,   1.2, 8,   1.5, 8,   5.1, 999.9,   76.3 ,  57.9*, 0.01G,999.9, 100000,
428070,99999, 20151220,   64.8, 8,   53.9, 8, 1017.5, 8, 9999.9, 0,   1.4, 8,   0.7, 8,   2.9, 999.9,   77.2 ,  55.4 , 0.00G,999.9, 100000,
428070,99999, 20151221,   66.9, 8,   55.4, 8, 1017.4, 8, 9999.9, 0,   1.8, 8,   0.6, 8,   2.9, 999.9,   76.3 ,  57.7 , 0.00I,999.9, 000000,
