STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
427053,99999, 20160101,   25.0, 8,   -7.8, 8, 9999.9, 0, 9999.9, 0,   3.7, 8,   1.2, 8,   1.9, 999.9,   35.6*,   6.8*, 0.00I,999.9, 000000,
427053,99999, 20160102,   26.6, 6,   -2.2, 6, 9999.9, 0, 9999.9, 0,   3.7, 6,   1.3, 6,   2.9, 999.9,   37.4*,  14.0*, 0.00I,999.9, 000000,
427053,99999, 20160103,   27.1,12,   -2.2,12, 9999.9, 0, 9999.9, 0,   3.7,10,   1.3,10,   1.9, 999.9,   42.8*,   8.6*, 0.00I,999.9, 000000,
427053,99999, 20160104,   27.0, 8,   -0.6, 8, 9999.9, 0, 9999.9, 0,   3.7, 8,   1.1, 8,   1.9, 999.9,   39.2*,  19.4*, 0.00I,999.9, 000000,
427053,99999, 20160105,   34.7, 4,   20.3, 4, 9999.9, 0, 9999.9, 0,   3.7, 4,   3.5, 4,   7.0, 999.9,   39.2*,  24.8*, 0.00I,999.9, 000000,
427053,99999, 20160106,   27.8, 9,    8.4, 9, 9999.9, 0, 9999.9, 0,   3.7, 9,   3.6, 9,  11.1, 999.9,   39.2*,  15.8*, 0.00I,999.9, 000000,
427053,99999, 20160107,   30.0,11,    5.3,11, 9999.9, 0, 9999.9, 0,   3.7,10,   3.6,10,   8.9, 999.9,   39.2*,  17.6*, 0.00I,999.9, 000000,
427053,99999, 20160108,   28.4,10,    6.8,10, 9999.9, 0, 9999.9, 0,   3.7,10,   6.7,10,  14.0,  22.0,   32.0*,  19.4*, 0.00I,999.9, 000000,
427053,99999, 20160109,   23.5, 8,   -1.8, 8, 9999.9, 0, 9999.9, 0,   3.7, 5,   2.2, 8,   4.1, 999.9,   37.4*,   8.6*, 0.00I,999.9, 000000,
427053,99999, 20160110,   20.9, 6,   -6.1, 6, 9999.9, 0, 9999.9, 0,   3.7, 6,   1.6, 6,   3.9, 999.9,   37.4*,   6.8*, 0.00I,999.9, 000000,
427053,99999, 20160111,   21.6, 4,    3.6, 4, 9999.9, 0, 9999.9, 0,   3.7, 4,   1.9, 4,   2.9, 999.9,   33.8*,   6.8*, 0.00I,999.9, 000000,
427053,99999, 20160112,   25.3,10,   -5.1,10, 9999.9, 0, 9999.9, 0,   3.7,10,   1.5,10,   2.9, 999.9,   39.2*,   6.8*, 0.00I,999.9, 000000,
427053,99999, 20160113,   24.1,10,   -2.4,10, 9999.9, 0, 9999.9, 0,   3.7, 9,   2.2, 9,   4.1, 999.9,   37.4*,   8.6*, 0.00I,999.9, 000000,
427053,99999, 20160114,   24.2, 6,   -4.6, 6, 9999.9, 0, 9999.9, 0,   3.7, 6,   1.3, 6,   2.9, 999.9,   35.6*,   8.6*, 0.00I,999.9, 000000,
427053,99999, 20160115,   20.8, 4,   19.4, 4, 9999.9, 0, 9999.9, 0,   3.7, 4,   1.2, 4,   1.9, 999.9,   23.0*,  19.4*, 0.00I,999.9, 000000,
427053,99999, 20160118,   20.3, 6,   -4.0, 6, 9999.9, 0, 9999.9, 0,   3.7, 6,   1.8, 6,   5.1, 999.9,   35.6*,   8.6*, 0.00I,999.9, 000000,
427053,99999, 20160120,   19.9, 4,   -5.8, 4, 9999.9, 0, 9999.9, 0,   3.7, 4,   0.7, 4,   4.1, 999.9,   32.0*,   1.4*, 0.00I,999.9, 000000,
427053,99999, 20160121,   10.4, 5,  -12.6, 5, 9999.9, 0, 9999.9, 0,   3.7, 5,   0.6, 5,   1.9, 999.9,   32.0*,   1.4*, 0.00I,999.9, 000000,
427053,99999, 20160122,   13.1, 4,  -13.9, 4, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   23.0*,   3.2*, 0.00I,999.9, 000000,
427053,99999, 20160123,   17.6, 5,  -12.1, 4, 9999.9, 0, 9999.9, 0,   3.7, 5,   0.8, 5,   1.9, 999.9,   30.2*,   1.4*, 0.00I,999.9, 000000,
427053,99999, 20160124,   22.5, 7,  -11.5, 7, 9999.9, 0, 9999.9, 0,   3.7, 7,   2.0, 7,   4.1, 999.9,   35.6*,   3.2*, 0.00I,999.9, 000000,
427053,99999, 20160125,   20.1, 8,  -12.3, 8, 9999.9, 0, 9999.9, 0,   3.7, 8,   2.2, 8,   8.0, 999.9,   37.4*,   5.0*, 0.00I,999.9, 000000,
427053,99999, 20160126,   28.0, 5,    3.2, 5, 9999.9, 0, 9999.9, 0,   3.7, 5,   3.6, 5,   9.9, 999.9,   33.8*,  17.6*, 0.00I,999.9, 000000,
427053,99999, 20160127,   29.8, 4,   18.9, 4, 9999.9, 0, 9999.9, 0,   3.7, 4,   1.9, 4,   1.9, 999.9,   35.6*,  21.2*,99.99 ,999.9, 001000,
427053,99999, 20160128,   21.6, 9,    2.8, 9, 9999.9, 0, 9999.9, 0,   3.7, 9,   1.8, 9,   2.9, 999.9,   35.6*,   6.8*, 0.00I,999.9, 000000,
427053,99999, 20160129,   24.8, 4,    0.9, 4, 9999.9, 0, 9999.9, 0,   3.7, 4,   1.2, 4,   1.9, 999.9,   33.8*,  21.2*, 0.00I,999.9, 000000,
427053,99999, 20160130,   29.4, 7,   20.9, 7, 9999.9, 0, 9999.9, 0,   3.7, 6,   3.7, 6,   6.0, 999.9,   37.4*,  23.0*,99.99 ,999.9, 001000,
427053,99999, 20160131,   32.6, 6,   -1.6, 6, 9999.9, 0, 9999.9, 0,   3.7, 6,   3.1, 6,   8.0, 999.9,   37.4*,  21.2*, 0.00I,999.9, 000000,
427053,99999, 20160209,   30.2, 6,    1.0, 5, 9999.9, 0, 9999.9, 0,   3.7, 6,   1.5, 6,   1.9, 999.9,   42.8*,  19.4*, 0.00I,999.9, 000000,
427053,99999, 20160210,   34.2,10,    0.5,10, 9999.9, 0, 9999.9, 0,   3.7,10,   3.0,10,   9.9, 999.9,   41.0*,  21.2*, 0.00I,999.9, 000000,
427053,99999, 20160211,   30.5, 6,    9.2, 6, 9999.9, 0, 9999.9, 0,   3.7, 6,   5.4, 6,  15.5, 999.9,   35.6*,  26.6*, 0.00I,999.9, 000000,
427053,99999, 20160212,   30.2, 6,    5.3, 6, 9999.9, 0, 9999.9, 0,   3.7, 6,   6.9, 6,  13.6, 999.9,   35.6*,  21.2*, 0.00I,999.9, 000000,
427053,99999, 20160213,   29.8, 5,    2.5, 5, 9999.9, 0, 9999.9, 0,   3.7, 5,   6.6, 5,   9.9, 999.9,   33.8*,  23.0*,99.99 ,999.9, 001000,
427053,99999, 20160214,   32.3, 6,   -7.6, 6, 9999.9, 0, 9999.9, 0,   3.7, 6,   3.5, 6,   8.0, 999.9,   41.0*,   8.6*, 0.00I,999.9, 000000,
427053,99999, 20160215,   30.6, 8,  -10.5, 8, 9999.9, 0, 9999.9, 0,   3.7, 8,   2.5, 8,   5.1, 999.9,   41.0*,  17.6*, 0.00I,999.9, 000000,
427053,99999, 20160216,   35.9, 6,   -5.8, 6, 9999.9, 0, 9999.9, 0,   3.7, 6,   7.9, 6,  12.0,  22.0,   41.0*,  26.6*, 0.00I,999.9, 000000,
427053,99999, 20160217,   29.1, 5,  -10.8, 5, 9999.9, 0, 9999.9, 0,   3.7, 5,   2.6, 5,   6.0, 999.9,   46.4*,  12.2*, 0.00I,999.9, 000000,
