STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
422990,99999, 20160101,   51.3, 4,   41.1, 4, 9999.9, 0,  824.9, 4,   4.3, 4,   0.0, 4, 999.9, 999.9,   57.0 ,  41.9 , 0.16G,999.9, 000000,
422990,99999, 20160102,   52.2, 4,   42.2, 4, 9999.9, 0,  823.7, 4,   2.5, 4,   0.5, 4,   1.9, 999.9,   59.2 ,  42.4 , 0.00I,999.9, 000000,
422990,99999, 20160103,   51.2, 4,   43.3, 4, 9999.9, 0,  821.8, 4,   2.2, 4,   0.5, 4,   1.0, 999.9,   57.7 ,  43.0 ,99.99 ,999.9, 010000,
422990,99999, 20160104,   50.8, 4,   43.8, 4, 9999.9, 0,  823.1, 4,   4.3, 4,   0.0, 4, 999.9, 999.9,   57.6 ,  42.6 , 0.00G,999.9, 000000,
422990,99999, 20160105,   51.2, 4,   43.2, 4, 9999.9, 0,  821.5, 4,   2.5, 4,   0.5, 4,   1.0, 999.9,   57.9 ,  42.8 , 0.00I,999.9, 000000,
422990,99999, 20160106,   49.5, 4,   42.8, 4, 9999.9, 0,  821.9, 4,   1.9, 4,   0.0, 4, 999.9, 999.9,   51.4 ,  45.9 , 0.00I,999.9, 000000,
422990,99999, 20160107,   52.3, 4,   45.0, 4, 9999.9, 0,  822.2, 4,   2.5, 4,   0.0, 4, 999.9, 999.9,   58.6 ,  43.5 , 0.00I,999.9, 000000,
422990,99999, 20160108,   48.3, 4,   45.0, 4, 9999.9, 0,  820.0, 4,   1.2, 4,   0.0, 4, 999.9, 999.9,   50.0 ,  44.4 , 0.00B,999.9, 010000,
422990,99999, 20160109,   44.2, 4,   41.3, 4, 9999.9, 0,  816.8, 4,   1.6, 4,   0.0, 4, 999.9, 999.9,   46.8 ,  42.3 , 0.01G,999.9, 010000,
422990,99999, 20160110,   47.6, 4,   40.4, 4, 9999.9, 0,  821.3, 4,   4.0, 4,   0.0, 4, 999.9, 999.9,   54.0 ,  39.6 , 0.16G,999.9, 000000,
422990,99999, 20160111,   49.1, 4,   41.0, 4, 9999.9, 0,  820.7, 4,   2.2, 4,   0.2, 4,   1.0, 999.9,   55.4 ,  39.7 , 0.00G,999.9, 000000,
422990,99999, 20160112,   49.2, 4,   42.1, 4, 9999.9, 0,  819.8, 4,   1.2, 4,   0.0, 4, 999.9, 999.9,   55.8 ,  41.7 , 0.00I,999.9, 000000,
422990,99999, 20160113,   48.3, 4,   41.7, 4, 9999.9, 0,  818.8, 4,   1.2, 4,   0.0, 4, 999.9, 999.9,   49.8*,  44.1 , 0.00I,999.9, 000000,
422990,99999, 20160114,   47.3, 4,   41.6, 4, 9999.9, 0,  819.7, 4,   1.2, 4,   0.0, 4, 999.9, 999.9,   50.4*,  42.6 , 0.08G,999.9, 000000,
422990,99999, 20160115,   45.8, 4,   43.3, 4, 9999.9, 0,  817.7, 4,   0.3, 4,   0.0, 4, 999.9, 999.9,   46.4*,  44.1 , 0.00G,999.9, 110000,
422990,99999, 20160116,   46.9, 4,   43.5, 4, 9999.9, 0,  817.2, 4,   0.7, 4,   0.0, 4, 999.9, 999.9,   49.3*,  43.3 , 0.01G,999.9, 100000,
422990,99999, 20160117,   50.8, 4,   40.8, 4, 9999.9, 0,  819.2, 4,   2.2, 4,   0.5, 4,   1.9, 999.9,   56.5*,  43.2 , 0.00G,999.9, 000000,
422990,99999, 20160118,   49.9, 4,   43.0, 4, 9999.9, 0,  818.2, 4,   2.2, 4,   0.2, 4,   1.0, 999.9,   55.4*,  41.4 , 0.00I,999.9, 000000,
