STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
420270,99999, 20130101,   35.2, 8,   29.0, 8, 9999.9, 0,  841.2, 8,   1.2, 8,   0.9, 8,   4.1, 999.9,   46.6 ,  27.5 , 0.00I,999.9, 000000,
420270,99999, 20130102,   34.6, 8,   27.3, 8, 9999.9, 0,  842.6, 8,   1.2, 8,   0.2, 8,   1.0, 999.9,   48.6 ,  25.0 , 0.00I,999.9, 000000,
420270,99999, 20130103,   33.5, 7,   26.9, 7, 9999.9, 0,  842.1, 7,   1.2, 7,   0.4, 7,   1.9, 999.9,   47.7 ,  24.8 , 0.00I,999.9, 000000,
420270,99999, 20130104,   33.8, 8,   25.8, 8, 9999.9, 0,  841.3, 8,   1.6, 8,   0.4, 8,   2.9, 999.9,   49.1 ,  24.3 , 0.00I,999.9, 000000,
420270,99999, 20130105,   34.1, 8,   25.2, 8, 9999.9, 0,  840.1, 8,   1.4, 8,   0.0, 8, 999.9, 999.9,   48.9 ,  22.3 , 0.00I,999.9, 000000,
420270,99999, 20130106,   33.7, 8,   26.1, 8, 9999.9, 0,  840.8, 8,   1.4, 8,   0.4, 8,   1.9, 999.9,   46.0 ,  23.7 , 0.00I,999.9, 000000,
420270,99999, 20130107,   33.6, 8,   24.4, 8, 9999.9, 0,  842.4, 8,   1.6, 8,   0.5, 8,   1.0, 999.9,   48.7 ,  23.2 , 0.00I,999.9, 000000,
420270,99999, 20130108,   34.7, 8,   24.1, 8, 9999.9, 0,  844.1, 8,   1.7, 8,   0.5, 8,   1.0, 999.9,   46.9 ,  22.1 , 0.00I,999.9, 000000,
420270,99999, 20130109,   36.2, 7,   30.3, 7, 9999.9, 0,  845.0, 7,   1.9, 7,   0.3, 7,   1.0, 999.9,   47.3 ,  29.5*, 0.02G,999.9, 001000,
420270,99999, 20130110,   35.3, 8,   26.8, 8, 9999.9, 0,  845.2, 8,   1.9, 8,   0.2, 8,   1.9, 999.9,   49.6 ,  27.3 , 0.00G,999.9, 000000,
420270,99999, 20130111,   36.0, 8,   26.8, 8, 9999.9, 0,  846.1, 8,   1.2, 8,   0.4, 8,   1.0, 999.9,   50.4 ,  24.8 , 0.00I,999.9, 000000,
