Division,YEAR,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
AN&NICOBAR IS,1901,136.3,560.3,1696.3,980.3
AN&NICOBAR IS,1902,159.8,458.3,2185.9,716.7
AN&NICOBAR IS,1903,156.7,236.1,1874,690.6
AN&NICOBAR IS,1904,24.1,506.9,1977.6,571
AN&NICOBAR IS,1905,1.3,309.7,1624.9,630.8
AN&NICOBAR IS,1906,36.6,556.1,1465.8,475.9
AN&NICOBAR IS,1907,110.7,751.2,1327.1,1158.9
AN&NICOBAR IS,1908,106,591,2303.7,575.7
AN&NICOBAR IS,1910,49.3,520.1,1701,629
AN&NICOBAR IS,1911,8.4,449.8,1553.6,675.4
AN&NICOBAR IS,1912,584.5,162.6,1775.2,438.2
AN&NICOBAR IS,1913,85.3,194.5,1596.7,489.3
AN&NICOBAR IS,1914,0,336.5,2007.4,613.9
AN&NICOBAR IS,1915,101.7,244.4,1350.7,1044.5
AN&NICOBAR IS,1916,0,487.9,1753.6,696
AN&NICOBAR IS,1917,11.6,412.4,1605.1,583.3
AN&NICOBAR IS,1918,84.3,751.4,1670.4,768.9
AN&NICOBAR IS,1919,28.2,319.4,1219.5,785
AN&NICOBAR IS,1920,129.7,253.5,1814.1,745.9
AN&NICOBAR IS,1921,16.3,388.7,1681,520.4
AN&NICOBAR IS,1922,279.6,628.4,1751,895.2
AN&NICOBAR IS,1923,79.5,NA,2188,399.9
AN&NICOBAR IS,1924,28.7,295.7,1296.6,NA
AN&NICOBAR IS,1925,36.6,341.2,1385.7,717
AN&NICOBAR IS,1926,122.1,198.9,1808.3,1152.9
AN&NICOBAR IS,1927,20.5,630.5,1124.8,667.1
AN&NICOBAR IS,1928,118.5,709.5,1612.8,557.5
AN&NICOBAR IS,1929,192.6,515.6,1540.4,678
AN&NICOBAR IS,1930,192.8,373.6,1975.4,533.3
AN&NICOBAR IS,1931,25.3,210.4,1548.2,573.8
AN&NICOBAR IS,1932,5.3,548,NA,NA
AN&NICOBAR IS,1933,16.2,431.9,1973.9,565.5
AN&NICOBAR IS,1934,180.2,200.3,2717.9,624.4
AN&NICOBAR IS,1935,6.6,860.9,1733.3,553.2
AN&NICOBAR IS,1936,31.8,NA,2109.8,586.3
AN&NICOBAR IS,1937,32.3,442.5,1863.8,1252.5
AN&NICOBAR IS,1938,70.6,521,1930.6,742.2
AN&NICOBAR IS,1939,55.6,573.9,1591.9,561.1
AN&NICOBAR IS,1940,3.3,380.1,1970.2,653.9
AN&NICOBAR IS,1941,12.8,329.7,1627.4,928.3
AN&NICOBAR IS,1942,46.6,NA,NA,NA
AN&NICOBAR IS,1946,88,465.4,1570.6,667.6
AN&NICOBAR IS,1947,136.2,397.2,NA,612.1
AN&NICOBAR IS,1949,56.4,572.3,2433.2,427.7
AN&NICOBAR IS,1950,0.8,359.7,1578.4,483.3
AN&NICOBAR IS,1951,89.9,304.4,1747.4,1133.4
AN&NICOBAR IS,1952,0.8,562,1824.8,692.3
AN&NICOBAR IS,1953,121.3,420.5,1627.1,552.9
AN&NICOBAR IS,1954,85.9,487,2419.4,456.7
AN&NICOBAR IS,1955,85.5,742.2,1648.3,873.6
AN&NICOBAR IS,1956,126.4,656,1604.4,693.3
AN&NICOBAR IS,1957,47.3,166,1833.6,460.3
AN&NICOBAR IS,1958,37.2,410.2,1710.4,649.6
AN&NICOBAR IS,1959,11.9,356.1,2271.7,703.6
AN&NICOBAR IS,1960,176.6,601,1563,684.5
AN&NICOBAR IS,1961,181.5,1094.5,1857.3,805
AN&NICOBAR IS,1962,167.3,374.1,1671.9,746.4
AN&NICOBAR IS,1963,106.7,336.8,1953.5,584.7
AN&NICOBAR IS,1964,87.4,551.8,1745.9,669.8
AN&NICOBAR IS,1965,42.2,368.5,1774.3,978.8
AN&NICOBAR IS,1966,83.9,427.6,1372.1,817.6
AN&NICOBAR IS,1967,186.2,609.7,1796.4,624.1
AN&NICOBAR IS,1968,23.4,383.3,1803.3,552.8
AN&NICOBAR IS,1969,171,352.7,1539.1,556.3
AN&NICOBAR IS,1970,106.2,488.7,1738.2,1037.7
AN&NICOBAR IS,1971,74.3,471,1613.7,839.6
AN&NICOBAR IS,1972,15.3,605.9,1844,857.7
AN&NICOBAR IS,1973,38.5,478.7,1587.8,886.1
AN&NICOBAR IS,1974,66,672,1378.7,845.3
AN&NICOBAR IS,1975,304.4,395.2,1589.1,797
AN&NICOBAR IS,1976,30.6,713.5,1698.2,833.7
AN&NICOBAR IS,1977,122.9,288.3,1492.9,484.1
AN&NICOBAR IS,1978,138.9,425.9,1775.9,371.6
AN&NICOBAR IS,1979,44.9,215,1242.5,347
AN&NICOBAR IS,1980,6.3,776.5,1946.3,896.3
AN&NICOBAR IS,1981,38.9,366.7,1908,761.2
AN&NICOBAR IS,1982,11.6,333.3,1575.8,463.8
AN&NICOBAR IS,1983,22.1,253,1892.4,624.9
AN&NICOBAR IS,1984,243.2,345.2,1280.7,951.2
AN&NICOBAR IS,1985,31.2,357.2,1557,685.4
AN&NICOBAR IS,1986,15.4,312.3,1473.6,386.5
AN&NICOBAR IS,1987,107.6,200.9,1434.5,1021
AN&NICOBAR IS,1988,50.1,538.1,1810.5,924.3
